route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number,route_short_name,slug
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0740_0,Katraj To Bhakti Shakti,,0,,4810,,,42/10,1,1,42 - Katraj To Bhakti Shakti,42-katraj-to-bhakti-shakti
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2010_0,Bhakti Shakti To Katraj,,0,,4811,,,42/5,8,4,42 - Bhakti Shakti To Katraj,42-bhakti-shakti-to-katraj
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1750_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/1,10,4,366 - Pune Station To Bhakti Shakti (Via Yerwada),366-pune-station-to-bhakti-shakti-via-yerwada
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1440_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/3,7,1,366 - Bhakti Shakti To Pune Station (Via Yerwada),366-bhakti-shakti-to-pune-station-via-yerwada
367,1,NORMAL_367_Gavhanevasti Bhosari To Nigdi_Down-0915_0,Gavhanevasti Bhosari To Nigdi,,0,,3922,,,367/4,6,6,367 - Gavhanevasti Bhosari To Nigdi,367-gavhanevasti-bhosari-to-nigdi
315,1,NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-1020_0,Pune station To Bhosari via vishrantwadi,,0,,4069,,,315/13,6,6,315 - Pune station To Bhosari via vishrantwadi,315-pune-station-to-bhosari-via-vishrantwadi
60,1,NORMAL_60_Ghulenagar To Mandai Stand_Down-1000_0,Ghulenagar To Mandai Stand,,1,,4195,,,60/1,6,6,60 - Ghulenagar To Mandai Stand,60-ghulenagar-to-mandai-stand
186,1,NORMAL_186_Jspm College To Pune Station_Up-1840_0,Jspm College To Pune Station,,0,,3889,,,186/1,10,4,186 - Jspm College To Pune Station,186-jspm-college-to-pune-station
55,1,NORMAL_55_Mandai To Suncity_Down-1950_0,Mandai To Suncity,,0,,4204,,,55/2,17,7,55 - Mandai To Suncity,55-mandai-to-suncity
87,1,NORMAL_87_Deccan Gymkhana To Susgaon Thaksen Nagar_Up-1025_0,Deccan Gymkhana To Susgaon Thaksen Nagar,,1,,4656,,,87/8,4,4,87 - Deccan Gymkhana To Susgaon Thaksen Nagar,87-deccan-gymkhana-to-susgaon-thaksen-nagar
55,1,NORMAL_55_Suncity To Mandai_Up-0700_0,Suncity To Mandai,,0,,4206,,,55/2,2,2,55 - Suncity To Mandai,55-suncity-to-mandai
114,1,NORMAL_114_Mhalungegaon To Ma Na Pa_Down-0530_0,Mhalungegaon To Ma Na Pa,,0,,3499,,,114/3,1,1,114 - Mhalungegaon To Ma Na Pa,114-mhalungegaon-to-ma-na-pa
367,1,NORMAL_367_Nigdi To Gavhanevasti Bhosari_Up-1130_0,Nigdi To Gavhanevasti Bhosari,,0,,3921,,,367/8,6,6,367 - Nigdi To Gavhanevasti Bhosari,367-nigdi-to-gavhanevasti-bhosari
87,1,NORMAL_87_Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar)_Down-0720_0,Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar),,1,,3450,,,87/4,1,1,87 - Sutarwadi Pashan To Deccan Gymkhana (Vai Bhagvatinagar),87-sutarwadi-pashan-to-deccan-gymkhana-vai-bhagvatinagar
114,1,NORMAL_114_Ma Na Pa To Mhalungegaon_Up-1520_0,Ma Na Pa To Mhalungegaon,,0,,3500,,,114/3,12,2,114 - Ma Na Pa To Mhalungegaon,114-ma-na-pa-to-mhalungegaon
87,1,NORMAL_87_Susgaon Thaksen Nagar To Deccan Gymkhana_Down-0830_0,Susgaon Thaksen Nagar To Deccan Gymkhana,,1,,4658,,,87/7,3,3,87 - Susgaon Thaksen Nagar To Deccan Gymkhana,87-susgaon-thaksen-nagar-to-deccan-gymkhana
87F,1,NORMAL_87F_Deccan Gymkhana To Mhalunge Phata Balewadi_Up-1430_0,Deccan Gymkhana To Mhalunge Phata Balewadi,,1,,4697,,,87/7,8,8,87F - Deccan Gymkhana To Mhalunge Phata Balewadi,87f-deccan-gymkhana-to-mhalunge-phata-balewadi
87C,1,NORMAL_87C_HMR Company To Deccan Gymkhana_Down-1710_0,HMR Company To Deccan Gymkhana,,0,,3006,,,87/3,11,3,87C - HMR Company To Deccan Gymkhana,87c-hmr-company-to-deccan-gymkhana
315,1,NORMAL_315_Deccan College To Dighi_Up-1345_0,Deccan College To Dighi,,1,,4844,,,315/13,9,9,315 - Deccan College To Dighi,315-deccan-college-to-dighi
87D,1,NORMAL_87D_Deccan Gymkhana To Sutarwadi Pashan (Vai Sai Chowk)_Up-1135_0,Deccan Gymkhana To Sutarwadi Pashan (Vai Sai Chowk),,1,,3139,,,87/3,6,6,87D - Deccan Gymkhana To Sutarwadi Pashan (Vai Sai Chowk),87d-deccan-gymkhana-to-sutarwadi-pashan-vai-sai-chowk
87,1,NORMAL_87_Deccan Gymkhana To Sutarwadi Pashan (Vai Bhagvatinagar)_Up-2235_0,Deccan Gymkhana To Sutarwadi Pashan (Vai Bhagvatinagar),,1,,3451,,,87/2,16,8,87 - Deccan Gymkhana To Sutarwadi Pashan (Vai Bhagvatinagar),87-deccan-gymkhana-to-sutarwadi-pashan-vai-bhagvatinagar
315,1,NORMAL_315_Pune Station Depot To Deccan College_Up-1315_0,Pune Station Depot To Deccan College,,1,,4846,,,315/13,8,8,315 - Pune Station Depot To Deccan College,315-pune-station-depot-to-deccan-college
87,1,NORMAL_87_Girme Park To Deccan Gymkhana_Down-0710_0,Girme Park To Deccan Gymkhana,,1,,5241,,,87/6,2,2,87 - Girme Park To Deccan Gymkhana,87-girme-park-to-deccan-gymkhana
186,1,NORMAL_186_Pune Station To Jspm College_Down-1740_0,Pune Station To Jspm College,,0,,3890,,,186/1,9,3,186 - Pune Station To Jspm College,186-pune-station-to-jspm-college
315,1,NORMAL_315_Bhosari PMT Chowk To Dighi_Down-0630_0,Bhosari PMT Chowk To Dighi,,1,,4849,,,315/13,1,1,315 - Bhosari PMT Chowk To Dighi,315-bhosari-pmt-chowk-to-dighi
217,1,NORMAL_217_Mandai Stand To Gujarwadi_Down-0810_0,Mandai Stand To Gujarwadi,,1,,4311,,,217/2,3,3,217 - Mandai Stand To Gujarwadi,217-mandai-stand-to-gujarwadi
87D,1,NORMAL_87D_Sutarwadi Pashan To Deccan Gymkhana (Vai Sai Chowk)_Down-1140_0,Sutarwadi Pashan To Deccan Gymkhana (Vai Sai Chowk),,1,,3268,,,87/1,7,7,87D - Sutarwadi Pashan To Deccan Gymkhana (Vai Sai Chowk),87d-sutarwadi-pashan-to-deccan-gymkhana-vai-sai-chowk
