agency_id,route_id,route_long_name,route_short_name,route_type,bus_num,slug
DIMTS,142,828AUP,,3,828A - Galib Pur Village,828a-galib-pur-village
DIMTS,10001,971DOWN,,3,971 - Delhi ADMN Flats Timarpur,971-delhi-admn-flats-timarpur
DIMTS,1108,878STLDOWN,,3,878STL - Dichau Kalan Depot,878stl-dichau-kalan-depot
DIMTS,362,961DOWN,,3,961 - Katewara Village,961-katewara-village
DIMTS,1963,961EUP,,3,961E - Savda JJ Colony,961e-savda-jj-colony
DIMTS,274,819DOWN,,3,819 - Tilak Nagar Terminal,819-tilak-nagar-terminal
DIMTS,201,624ALINKSTLUP,,3,624ALINKSTL - Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,624alinkstl-sunehari-pulla-depot-jawahar-lal-nehru-stadium-terminal
DIMTS,984,844STLUP,,3,844STL - Sarang Pur Village,844stl-sarang-pur-village
DIMTS,233,919UP,,3,919 - Sec-24 Rohini,919-sec-24-rohini
DIMTS,660,08UP,,3,08 - Najafgarh Terminal,08-najafgarh-terminal
DIMTS,143,728STLUP,,3,728STL - Kair Depot,728stl-kair-depot
DIMTS,263,740AUP,,3,740A - Gazipur Depot,740a-gazipur-depot
DIMTS,1954,892LSTLUP,,3,892LSTL - Chhawla School,892lstl-chhawla-school
DIMTS,118,817NSTLDOWN,,3,817NSTL - Najafgarh Terminal,817nstl-najafgarh-terminal
DIMTS,463,540LSTLUP,,3,540LSTL - Tara Apartment,540lstl-tara-apartment
DIMTS,250,348ADOWN,,3,348A - Mori Gate Terminal,348a-mori-gate-terminal
DIMTS,67,112STLUP,,3,112STL - Jain Shukla Mandir,112stl-jain-shukla-mandir
DIMTS,10002,623AUP,,3,623A - Lodhi Hotel,623a-lodhi-hotel
DIMTS,1627,172AUP,,3,172A - Holambi Khurd,172a-holambi-khurd
DIMTS,1047,113STLUP,,3,113STL - Jain Shukla Mandir,113stl-jain-shukla-mandir
DIMTS,1745,402CLDOWN,,3,402CL - Azadpur Terminal,402cl-azadpur-terminal
DIMTS,1029,AIR - 05AUP,,3,AIR-05A - Mangla Puri Terminal,air-05a-mangla-puri-terminal
DIMTS,1399,832LINKSTLUP,,3,832LINKSTL - Kair Depot,832linkstl-kair-depot
DIMTS,1768,216ACLUP,,3,216ACL - ISBT Nityanand Marg,216acl-isbt-nityanand-marg
DIMTS,1246,481LNKSTLDOWN,,3,481LNKSTL - Okhla Depot IV CWS II,481lnkstl-okhla-depot-iv-cws-ii
DIMTS,1871,827ESTLDOWN,,3,827ESTL - Ghuman Hera Depot 2,827estl-ghuman-hera-depot-2
DIMTS,1906,449CLUP,,3,449CL - C R Park Market II,449cl-c-r-park-market-ii
DIMTS,1372,836AUP,,3,836A - Mundhela Khurd Village,836a-mundhela-khurd-village
DIMTS,1815,129DOWN,,3,129 - Old Delhi Railway Station,129-old-delhi-railway-station
DIMTS,1730,821LSTLUP,,3,821LSTL - Jaffar Pur Kalan,821lstl-jaffar-pur-kalan
DIMTS,930,139DOWN,,3,139 - Shivaji Stadium Terminal,139-shivaji-stadium-terminal
DIMTS,349,78ASTLUP,,3,78ASTL - Todapur Village,78astl-todapur-village
DIMTS,1030,939STLDOWN,,3,939STL - Rani Khera Depot 2,939stl-rani-khera-depot-2
DIMTS,69,761STLUP,,3,761STL - C-1 Janak Puri,761stl-c-1-janak-puri
DIMTS,1032,507STLUP,,3,507STL - Okhla Extension (Abul Fazl Encalve),507stl-okhla-extension-abul-fazl-encalve
DIMTS,1586,167ADOWN,,3,167A - ISBT Kashmere Gate (ORR),167a-isbt-kashmere-gate-orr
DIMTS,1640,258LNKSTLUP,,3,258LNKSTL - Chauhan Patti (Terminal),258lnkstl-chauhan-patti-terminal
DIMTS,1371,835LSTLUP,,3,835LSTL - Dhansa Border (T),835lstl-dhansa-border-t
DIMTS,1145,939ADOWN,,3,939A - Zakhira (Rohtak Road),939a-zakhira-rohtak-road
DIMTS,295,413UP,,3,413 - Mehrauli Terminal,413-mehrauli-terminal
DIMTS,613,456UP,,3,456 - Hamdard Nagar / Sangam Vihar,456-hamdard-nagar-sangam-vihar
DIMTS,740,309EXTUP,,3,309EXT - Rajghat Depot,309ext-rajghat-depot
DIMTS,8,847AUP,,3,847A - Inderlok Metro Station,847a-inderlok-metro-station
DIMTS,1086,712UP,,3,712 - Shivaji Stadium Terminal,712-shivaji-stadium-terminal
DIMTS,1099,511ASTLUP,,3,511ASTL - Okhla Depot IV CWS II,511astl-okhla-depot-iv-cws-ii
DIMTS,189,174STLDOWN,,3,174STL - Azadpur Terminal,174stl-azadpur-terminal
DIMTS,1817,103AUP,,3,103A - Ramdev Chowk Narela Terminal,103a-ramdev-chowk-narela-terminal
